Actual Label,Predicted Label
Uncertain,Uncertain
True,Uncertain
Uncertain,Uncertain
Uncertain,Uncertain
True,ERROR
Uncertain,ERROR
Uncertain,ERROR
True,Uncertain
Uncertain,Uncertain
False,False
True,True
Uncertain,Uncertain
Uncertain,Uncertain
True,Uncertain
True,False
False,Uncertain
True,True
False,False
Uncertain,Uncertain
True,True
Uncertain,Uncertain
Uncertain,Uncertain
True,ERROR
Uncertain,Uncertain
True,Uncertain
False,Uncertain
True,ERROR
Uncertain,Uncertain
False,Uncertain
True,Uncertain
True,True
False,Uncertain
Uncertain,ERROR
True,ERROR
False,ERROR
True,True
Uncertain,Uncertain
False,False
Uncertain,Uncertain
True,Uncertain
Uncertain,Uncertain
Uncertain,Uncertain
False,Uncertain
True,Uncertain
False,ERROR
Uncertain,ERROR
True,ERROR
True,True
False,False
Uncertain,Uncertain
False,Uncertain
Uncertain,Uncertain
True,Uncertain
Uncertain,Uncertain
Uncertain,Uncertain
Uncertain,Uncertain
False,False
True,False
True,Uncertain
Uncertain,ERROR
True,Uncertain
True,Uncertain
False,Uncertain
Uncertain,Uncertain
False,False
True,Uncertain
True,Uncertain
False,Uncertain
Uncertain,Uncertain
True,True
False,Uncertain
False,False
True,ERROR
Uncertain,ERROR
True,True
False,Uncertain
Uncertain,Uncertain
True,Uncertain
False,Uncertain
True,Uncertain
True,Uncertain
Uncertain,Uncertain
True,True
False,Uncertain
False,ERROR
Uncertain,ERROR
True,ERROR
Uncertain,Uncertain
False,Uncertain
True,Uncertain
Uncertain,Uncertain
True,Uncertain
False,Uncertain
Uncertain,Uncertain
False,Uncertain
True,Uncertain
Uncertain,Uncertain
Uncertain,Uncertain
False,Uncertain
True,Uncertain
Uncertain,Uncertain
Uncertain,Uncertain
True,ERROR
False,Uncertain
Uncertain,Uncertain
Uncertain,ERROR
False,ERROR
True,ERROR
Uncertain,Uncertain
True,Uncertain
False,Uncertain
False,False
True,True
Uncertain,Uncertain
True,True
True,True
Uncertain,Uncertain
Uncertain,Uncertain
True,True
Uncertain,True
False,True
Uncertain,Uncertain
False,Uncertain
True,Uncertain
True,ERROR
Uncertain,ERROR
Uncertain,Uncertain
Uncertain,Uncertain
True,Uncertain
True,True
False,Uncertain
True,True
Uncertain,Uncertain
Uncertain,Uncertain
Uncertain,Uncertain
False,False
True,Uncertain
Uncertain,Uncertain
False,False
True,True
True,True
Uncertain,Uncertain
True,True
Uncertain,Uncertain
False,False
Uncertain,Uncertain
False,Uncertain
True,Uncertain
True,True
True,True
False,False
Uncertain,ERROR
True,ERROR
False,ERROR
Uncertain,Uncertain
False,False
True,Uncertain
False,False
False,Uncertain
False,Uncertain
Uncertain,Uncertain
True,Uncertain
False,Uncertain
True,True
False,Uncertain
Uncertain,Uncertain
Uncertain,Uncertain
True,Uncertain
False,False
False,False
False,True
False,Uncertain
False,False
Uncertain,Uncertain
Uncertain,Uncertain
False,False
True,Uncertain
False,False
False,Uncertain
False,Uncertain
Uncertain,Uncertain
Uncertain,Uncertain
