Actual Label,Predicted Label
Uncertain,Uncertain
True,True
Uncertain,Uncertain
Uncertain,Uncertain
True,ERROR
Uncertain,Uncertain
Uncertain,ERROR
True,True
Uncertain,Uncertain
False,False
True,True
Uncertain,Uncertain
Uncertain,Uncertain
True,Uncertain
True,False
False,False
True,True
False,False
Uncertain,Uncertain
True,True
Uncertain,Uncertain
Uncertain,Uncertain
True,ERROR
Uncertain,Uncertain
True,Uncertain
False,Uncertain
True,True
Uncertain,Uncertain
False,False
True,ERROR
True,True
False,Uncertain
Uncertain,ERROR
True,ERROR
False,ERROR
True,True
Uncertain,Uncertain
False,False
Uncertain,Uncertain
True,True
Uncertain,Uncertain
Uncertain,Uncertain
False,False
True,ERROR
False,ERROR
Uncertain,ERROR
True,ERROR
True,True
False,False
Uncertain,Uncertain
False,True
Uncertain,Uncertain
True,ERROR
Uncertain,Uncertain
Uncertain,Uncertain
Uncertain,Uncertain
False,False
True,False
True,ERROR
Uncertain,ERROR
True,ERROR
True,True
False,Uncertain
Uncertain,Uncertain
False,False
True,True
True,True
False,False
Uncertain,Uncertain
True,True
False,True
False,False
True,ERROR
Uncertain,Uncertain
True,True
False,False
Uncertain,Uncertain
True,True
False,True
True,Uncertain
True,True
Uncertain,Uncertain
True,True
False,Uncertain
False,ERROR
Uncertain,ERROR
True,ERROR
Uncertain,Uncertain
False,True
True,True
Uncertain,Uncertain
True,Uncertain
False,Uncertain
Uncertain,Uncertain
False,True
Uncertain,Uncertain
Uncertain,Uncertain
False,Uncertain
True,Uncertain
Uncertain,Uncertain
Uncertain,Uncertain
True,ERROR
False,ERROR
Uncertain,Uncertain
Uncertain,ERROR
False,ERROR
True,Uncertain
Uncertain,Uncertain
True,ERROR
False,ERROR
False,False
True,True
Uncertain,Uncertain
True,True
True,True
Uncertain,Uncertain
Uncertain,Uncertain
True,True
Uncertain,True
False,True
Uncertain,Uncertain
False,False
True,True
True,ERROR
Uncertain,ERROR
Uncertain,Uncertain
Uncertain,Uncertain
True,Uncertain
True,True
False,Uncertain
True,True
Uncertain,Uncertain
Uncertain,Uncertain
Uncertain,Uncertain
False,False
True,True
Uncertain,Uncertain
False,False
True,True
True,True
Uncertain,Uncertain
True,True
Uncertain,Uncertain
False,False
Uncertain,Uncertain
False,ERROR
True,True
True,True
True,True
False,False
Uncertain,True
True,ERROR
False,ERROR
Uncertain,Uncertain
False,False
True,ERROR
False,False
False,ERROR
False,ERROR
Uncertain,Uncertain
True,Uncertain
False,Uncertain
True,True
False,ERROR
Uncertain,Uncertain
Uncertain,Uncertain
True,Uncertain
False,False
False,False
False,True
False,Uncertain
False,False
Uncertain,Uncertain
Uncertain,Uncertain
False,False
True,True
False,False
False,ERROR
False,ERROR
Uncertain,Uncertain
Uncertain,Uncertain
